Borough,DE_Total,DI_Total,LM_Total,SA_Total,HA_Total,EN_Total,TR_Total,CH_Total,HE_Total,Result
Hillingdon,0.5891013904491206,0.2565241221714301,-0.7155145929339477,0.5040114604841747,0.692999988616966,0.4270817393304944,-0.9791672021618343,0.022805549099995437,0.3142857142857142,0.0480227258419475
Hounslow,0.23827204414964148,-0.4894428580892763,-0.6989247311827956,0.6065794470854776,0.6503652142445141,0.15496346182246518,-0.5870076155284222,0.010904274919746076,0.39047619047619053,0.019046550427887277
Islington,-0.38424780238917766,0.32544492224396193,-0.3630312339989758,0.1303116419369904,0.29997660081248845,-0.7459821418517876,0.7876557073834685,-1.0,-0.3142857142857142,-0.8872844477273405
Kensington and Chelsea,0.0161771171543989,-0.08715485797707612,-0.6809011776753712,0.21340750053475463,-1.0,-0.8109535994705797,0.7371970731741622,0.6460302974122313,0.961904761904762,0.06084470618237464
Kingston upon Thames,0.3168433008499815,0.6254214495706545,-0.9012800819252433,0.8486995639020937,0.4300653198027623,0.3572214035832518,-0.48946249131167896,0.8316519306323756,0.8666666666666667,0.736222124510879
Lambeth,-0.08472039926420416,0.3627909751581909,-0.5608806963645673,0.30856771594994975,0.6300098932370017,-0.6776893588164437,0.325652353447453,-0.8376212279261454,-0.3523809523809522,-0.7406592001233994
Lewisham,0.19849484932027844,0.42593015812858825,-0.8424987199180748,0.6241524320061228,0.8338848717102668,-0.46381965363207556,-0.07634084567526322,-0.8691806308558125,-0.08571428571428562,-0.48360061173178115
Merton,0.5351665922658817,0.2927311189408035,-0.7742959549411164,0.8637015064803534,0.529540628484136,0.2171167999853349,-0.38797684255038767,0.6742062297940441,0.4666666666666669,0.5192787707808462
Newham,-0.5621090614280781,-0.833316267716645,-0.8158730158730159,0.4739623212573354,0.9399543211201157,-0.5803507188308137,-0.2951632057964569,-0.6838932271673577,-0.12380952380952356,-0.6624424482263036
Redbridge,0.38419908844782624,-0.12053152878596035,-0.6708653353814643,0.734039136767695,0.5840121275332049,0.30482141287496833,-0.6918711463739914,0.6477604057446612,0.8476190476190477,0.547093761943453
Richmond upon Thames,0.6102597851089024,0.7984032063227142,-0.6876600102406554,0.9383269235526334,0.16657648126723545,0.8297110078482168,-0.2309204596101468,1.0,0.9428571428571431,0.9999999999999999
Southwark,-0.13061689678869765,0.17771102749000112,-0.5674347158218126,0.3035984989035709,0.5956949807612738,-0.3659840872190862,0.37057692734149283,-0.49562300504822765,-0.3904761904761901,-0.572761754085108
Sutton,0.5684240171081261,0.8363708956809582,-0.9119303635432668,0.852798767808786,0.6777997970639689,0.12795222827221184,-0.7328203965888596,0.5069496008324216,0.4476190476190479,0.44358406720931987
Tower Hamlets,-0.6369312477258964,-1.0,-0.5154121863799282,0.34634751633730115,0.8917837521276544,-1.0,0.49773562352263834,-0.5626072257323806,-1.0,-1.0
Waltham Forest,0.018988513947237495,-0.11677579899201954,-0.8173067076292884,0.6261903202853186,0.6865934008645189,0.04331580677892319,-0.3390450808175252,-0.4894686825474946,0.028571428571428685,-0.28421036658293075
Wandsworth,0.3620234981650382,0.49127261527315624,-0.5029185867895545,0.7581472605281192,0.7754528953084696,-0.3495910901165018,0.21842704273306418,0.05435495489461417,0.18095238095238095,0.12052527030438565
Westminster,-1.0,-0.03937573424733845,1.0000000000000002,-1.0,-0.26535584457456174,-0.5031972999289785,1.0,0.21152754371395,0.4666666666666669,-0.609971807718195
